Zeitstempel,Player  Name,Player ID,What Alliance do you belong to?,Do you want a construction day appointment (Monday),How many normal Fire Crystals will you use on Monday?,How many REFINED Fire Crystals will you use on Monday?,How many  Speedups are you planning to use on construction day? (In days),What times you are available on Monday Construction day? (UTC time),Do you want a research appointment? (Tuesday),How many speedups are you planning to use on research day? (in days),How many Fire Crystal Shards do  you have?,"What times you are available on Tuesday Research day? (UTC time)

Choose MINIMUM 4 times, but select ALL you can make. ",Do you want a troop training appointment?  (Thursday),How many speedups are you planning to use on Thursday troop day? (In days),"What times you are available on Thursday? (UTC time)

Choose MINIMUM 4 times, but select ALL you can make. ",Anything else you want to say?,Spalte 1
01.09.2026 22:04:42,David大卫,581114178,kAt,Yes,800,60,45,"07:00, 08:00, 09:00, 10:00, 11:00, 12:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",Yes,30,800,"07:00, 08:00, 09:00, 10:00, 11:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",Yes,30,"07:00, 08:00, 09:00, 10:00, 11:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00",,
01.09.2026 22:08:03,Rob,579262534,kAt,Yes,3126,332,62.2,"00:00, 01:00, 02:00, 03:00, 04:00, 22:00, 23:00",Yes,40,3500,"00:00, 01:00, 02:00, 03:00, 04:00, 22:00, 23:00",Yes,15,"00:00, 01:00, 02:00, 03:00, 04:00, 22:00, 23:00",All hail pup. ,
01.09.2026 22:42:01,Tpanzer44,581113746,kAt,Yes,2500,400,60,"00:00, 01:00, 20:00, 21:00, 22:00, 23:00",Yes,60,5090,"00:00, 01:00, 21:00, 22:00, 23:00",Yes,60,"00:00, 01:00, 21:00, 22:00, 23:00",,
01.09.2026 23:04:08,iBeast,586268739,WSE,Yes,2000,250,40,"00:00, 01:00, 02:00, 19:00, 20:00, 21:00, 22:00, 23:00",No,,,,No,,,,
01.09.2026 23:12:48,FreddyKruwger ,579764107,WSE,Yes,1500,200,100,"13:00, 14:00, 15:00, 16:00",Yes,50,1500,"13:00, 14:00, 15:00, 16:00",Yes,30,"14:00, 15:00, 16:00, 17:00",Merci Queenie,
01.09.2026 23:20:57,Bones Place,581167065,WSE,Yes,1500,3000,50,"01:00, 02:00, 03:00, 11:00, 12:00, 13:00",Yes,100,3000,"01:00, 02:00, 03:00, 11:00, 12:00, 13:00",Yes,45,"01:00, 02:00, 03:00, 10:00, 11:00, 12:00",Lets goooooooo 3496,
01.09.2026 23:22:17,CrackHeadMan,582204911,GOW,Yes,2000,0,51,"00:00, 01:00, 02:00, 03:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",Yes,47,1100,"00:00, 01:00, 02:00, 03:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00, 18:00, 19:00, 20:00, 21:00, 22:00, 23:00",No,,,Lets crack them 😈,
01.09.2026 23:35:11,Wishicould,705316825,WSE,Yes,2000,3500,20,"00:00, 01:00, 02:00, 03:00, 10:00, 11:00, 12:00, 13:00",Yes,50,4400,"00:00, 01:00, 02:00, 03:00, 10:00, 11:00, 12:00, 13:00",Yes,60,"01:00, 02:00, 03:00, 10:00, 11:00, 12:00, 13:00",,
01.09.2026 23:40:04,LOX & BAGELS,580758129,WSE,Yes,3500,342,100,"11:00, 12:00, 13:00, 14:00, 15:00, 16:00, 17:00",Yes,100,5000,"12:00, 13:00, 14:00, 15:00, 16:00",Yes,250,"12:00, 13:00, 14:00, 15:00, 16:00, 17:00",Lets fukin go!,
01.09.2026 23:43:01,Wicked Gemma,579289068,WSE,No,,,,,Yes,50,200,"00:00, 01:00, 02:00, 03:00, 13:00, 14:00, 20:00, 21:00",No,,,,
01.09.2026 23:48:07,SugarZaddy,582974711,GOS,Yes,28000,103,100,"00:00, 02:00, 03:00, 04:00",Yes,130,5200,"00:00, 02:00, 03:00, 04:00",Yes,150,"00:00, 02:00, 03:00, 04:00",I cannot.,
01.09.2026 23:56:33,PyroTequila ,582434570,GOS,Yes,700,80,49,"00:00, 02:00, 03:00, 04:00",Yes,44,126,"00:00, 02:00, 03:00, 04:00",Yes,20,"00:00, 02:00, 03:00, 04:00",Love youuuuuu,
02.09.2026 00:16:31,Bububoo,582663529,WSE,Yes,1000,100,25,"07:00, 08:00, 09:00, 10:00",Yes,20,400,"07:00, 08:00, 09:00, 10:00",Yes,15,"07:00, 08:00, 09:00, 10:00",,
02.09.2026 01:30:09,DaBigShit,579315924,WSE,Yes,2538,285,56,"03:00, 04:00, 05:00, 13:00, 14:00",Yes,74,5742,"02:00, 03:00, 04:00, 05:00, 06:00, 13:00",Yes,32,"03:00, 04:00, 05:00, 06:00, 13:00",,
02.09.2026 05:20:12,Genexfthoney ,581751807,ABS,Yes,6000,0,60,"03:00, 07:00, 12:00, 16:00",Yes,70,3000,"03:00, 07:00, 12:00, 16:00",Yes,50,"03:00, 07:00, 12:00, 16:00",,
02.09.2026 16:27:56,SheRa,578654064,GOS,No,,,,,No,,,,No,,,,
02.09.2026 17:21:03,MoodyPanty,647803782,GOW,Yes,2900,250,30,"14:00, 15:00, 16:00, 21:00",No,,,,No,,,Let’s beat them 💜,
02.09.2026 17:29:16,Oliver Garden,583418053,GOW,Yes,700,90,40,"00:00, 01:00, 02:00, 03:00, 04:00, 05:00",Yes,59,2300,"00:00, 01:00, 02:00, 03:00, 04:00, 05:00",Yes,40,"00:00, 01:00, 02:00, 03:00, 04:00, 05:00",,
